index,wavelength,fwhm,title,datatype
1,408.5,4.4,band1,int16
2,412.1,4.4,band2,int16
3,415.7,4.4,band3,int16
4,419.4,4.4,band4,int16
5,423,4.4,band5,int16
6,426.6,4.4,band6,int16
7,430.2,4.4,band7,int16
8,433.9,4.4,band8,int16
9,437.5,4.4,band9,int16
10,441.1,4.4,band10,int16
11,444.7,4.4,band11,int16
12,448.4,4.4,band12,int16
13,452,4.4,band13,int16
14,455.6,4.4,band14,int16
15,459.3,4.4,band15,int16
16,462.9,4.4,band16,int16
17,466.5,4.4,band17,int16
18,470.1,4.4,band18,int16
19,473.8,4.4,band19,int16
20,477.4,4.4,band20,int16
21,481,4.4,band21,int16
22,484.6,4.4,band22,int16
23,488.3,4.4,band23,int16
24,491.9,4.4,band24,int16
25,495.5,4.4,band25,int16
26,499.1,4.4,band26,int16
27,502.8,4.4,band27,int16
28,506.399,4.4,band28,int16
29,510,4.4,band29,int16
30,513.7,4.4,band30,int16
31,517.3,4.4,band31,int16
32,520.9,4.4,band32,int16
33,524.5,4.4,band33,int16
34,528.2,4.4,band34,int16
35,531.8,4.4,band35,int16
36,535.4,4.4,band36,int16
37,539,4.4,band37,int16
38,542.7,4.4,band38,int16
39,546.3,4.4,band39,int16
40,549.9,4.4,band40,int16
41,553.5,4.4,band41,int16
42,557.2,4.4,band42,int16
43,560.8,4.4,band43,int16
44,564.4,4.4,band44,int16
45,568.1,4.4,band45,int16
46,571.7,4.4,band46,int16
47,575.3,4.4,band47,int16
48,578.9,4.4,band48,int16
49,582.6,4.4,band49,int16
50,586.2,4.4,band50,int16
51,589.8,4.4,band51,int16
52,593.4,4.4,band52,int16
53,597.1,4.4,band53,int16
54,600.7,4.4,band54,int16
55,604.3,4.4,band55,int16
56,607.9,4.4,band56,int16
57,611.6,4.4,band57,int16
58,615.2,4.4,band58,int16
59,618.8,4.4,band59,int16
60,622.5,4.4,band60,int16
61,626.1,4.4,band61,int16
62,629.7,4.4,band62,int16
63,633.3,4.4,band63,int16
64,637,4.4,band64,int16
65,640.6,4.4,band65,int16
66,644.2,4.4,band66,int16
67,647.8,4.4,band67,int16
68,651.5,4.4,band68,int16
69,655.1,4.4,band69,int16
70,658.7,4.4,band70,int16
71,662.4,4.4,band71,int16
72,666,4.4,band72,int16
73,669.6,4.4,band73,int16
74,673.2,4.4,band74,int16
75,676.9,4.4,band75,int16
76,680.5,4.4,band76,int16
77,684.1,4.4,band77,int16
78,687.7,4.4,band78,int16
79,691.4,4.4,band79,int16
80,695,4.4,band80,int16
81,698.6,4.4,band81,int16
82,702.2,4.4,band82,int16
83,705.9,4.4,band83,int16
84,709.5,4.4,band84,int16
85,713.1,4.4,band85,int16
86,716.8,4.4,band86,int16
87,720.4,4.4,band87,int16
88,724,4.4,band88,int16
89,727.6,4.4,band89,int16
90,731.3,4.4,band90,int16
91,734.9,4.4,band91,int16
92,738.5,4.4,band92,int16
93,742.1,4.4,band93,int16
94,745.8,4.4,band94,int16
95,749.4,4.4,band95,int16
96,753,4.4,band96,int16
97,756.6,4.4,band97,int16
98,760.3,4.4,band98,int16
99,763.9,4.4,band99,int16
100,767.5,4.4,band100,int16
101,771.1,4.4,band101,int16
102,774.8,4.4,band102,int16
103,778.4,4.4,band103,int16
104,782,4.4,band104,int16
105,785.7,4.4,band105,int16
106,789.3,4.4,band106,int16
107,792.9,4.4,band107,int16
108,796.5,4.4,band108,int16
109,800.2,4.4,band109,int16
110,803.8,4.4,band110,int16
111,807.4,4.4,band111,int16
112,811,4.4,band112,int16
113,814.7,4.4,band113,int16
114,818.3,4.4,band114,int16
115,821.9,4.4,band115,int16
116,825.6,4.4,band116,int16
117,829.2,4.4,band117,int16
118,832.8,4.4,band118,int16
119,836.4,4.4,band119,int16
120,840.1,4.4,band120,int16
121,843.7,4.4,band121,int16
122,847.3,4.4,band122,int16
123,850.9,4.4,band123,int16
124,854.6,4.4,band124,int16
125,858.2,4.4,band125,int16
126,861.8,4.4,band126,int16
127,865.4,4.4,band127,int16
128,869.1,4.4,band128,int16
129,872.7,4.4,band129,int16
130,876.3,4.4,band130,int16
131,880,4.4,band131,int16
132,883.6,4.4,band132,int16
133,887.2,4.4,band133,int16
134,890.8,4.4,band134,int16
135,894.5,4.4,band135,int16
136,898.1,4.4,band136,int16
137,901.7,4.4,band137,int16
138,905.3,4.4,band138,int16
139,909,4.4,band139,int16
140,912.6,4.4,band140,int16
141,916.2,4.4,band141,int16
142,919.8,4.4,band142,int16
143,923.5,4.4,band143,int16
144,927.1,4.4,band144,int16
145,930.7,4.4,band145,int16
146,934.4,4.4,band146,int16
147,938,4.4,band147,int16
148,941.6,4.4,band148,int16
149,945.2,4.4,band149,int16
150,948.9,4.4,band150,int16
151,952.5,4.4,band151,int16
152,956.1,4.4,band152,int16
153,959.7,4.4,band153,int16
154,963.4,4.4,band154,int16
155,967,4.4,band155,int16
156,970.6,4.4,band156,int16
157,974.2,4.4,band157,int16
158,977.9,4.4,band158,int16
159,981.5,4.4,band159,int16
160,985.1,4.4,band160,int16
